,ACTA-SCI-TECHNOL,ADV-COMPLEX-SYST,ADV-THEOR-SIMUL,AN-ACAD-BRAS-CIENC,ANN-NY-ACAD-SCI,ARAB-J-SCI-ENG,CHIANG-MAI-J-SCI,COMPLEXITY,CR-ACAD-BULG-SCI,CURR-SCI-INDIA,DEFENCE-SCI-J,DISCRETE-DYN-NAT-SOC,ENDEAVOUR,FRACTALS,FRONT-BIOENG-BIOTECH,FRONT-LIFE-SCI,GIGASCIENCE,GLOB-CHALL,INTERDISCIPL-SCI-REV,INT-J-BIFURCAT-CHAOS,IRAN-J-SCI-TECHNOL-A,ISCIENCE,ISSUES-SCI-TECHNOL,J-ADV-RES,J-INDIAN-I-SCI,J-KING-SAUD-UNIV-SCI,J-NATL-SCI-FOUND-SRI,JOVE-J-VIS-EXP,J-RADIAT-RES-APPL-SC,J-R-SOC-INTERFACE,J-TAIBAH-UNIV-SCI,KUWAIT-J-SCI,MAEJO-INT-J-SCI-TECH,MIT-TECHNOL-REV,NAT-COMMUN,NAT-HUM-BEHAV,NATL-ACAD-SCI-LETT,NATL-SCI-REV,NATURE,NEW-SCI,NPJ-MICROGRAVITY,PHILOS-T-R-SOC-A,P-JPN-ACAD-B-PHYS,PLOS-ONE,P-NATL-ACAD-SCI-USA,P-NATL-A-SCI-INDIA-A,P-ROMANIAN-ACAD-A,REND-LINCEI-SCI-FIS,RES-SYNTH-METHODS,ROY-SOC-OPEN-SCI,S-AFR-J-SCI,SAINS-MALAYS,SCI-ADV,SCI-AM,SCI-BULL,SCI-DATA,SCIENCE,SCIENCEASIA,SCI-ENG-ETHICS,SCIENTIST,SCI-PROGRESS-UK,SCI-REP-UK,SYMMETRY-BASEL,T-ROY-SOC-SOUTH-AUST
SCI-BULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,249,0,0,13,145,0,0,5,0,27,70,0,0,0,0,0,0,0,34,0,361,0,202,0,0,0,0,114,0,0
SCI-DATA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,107,4,0,0,158,0,0,2,0,244,112,0,0,0,0,2,0,0,16,0,0,288,105,0,0,0,0,131,0,0
SCIENCE,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,21,0,8,0,0,0,0,817,3,0,3,1832,0,0,15,1,314,885,0,0,0,0,7,0,0,191,5,2,28,2533,0,0,0,0,284,0,0
SCIENCEASIA,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,0,0,0,0,2,0,0,0,0,2,14,0,0,0,6,0,0
SCI-ENG-ETHICS,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,44,3,0,2,0,44,18,0,0,0,0,0,0,0,0,1,0,0,43,0,164,0,0,2,0,0
SCIENTIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,9,0,0
SCI-PROGRESS-UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,8,0,0,0,0,18,11,0,0,0,0,2,0,0,2,0,0,0,14,0,0,0,24,12,0,0
SCI-REP-UK,0,2,5,21,205,5,2,16,0,30,0,3,1,5,68,4,154,0,0,17,3,36,0,17,3,10,0,449,8,286,2,0,1,0,6307,59,3,22,5791,0,33,88,15,16423,6312,0,3,6,4,245,4,9,683,10,45,120,4082,2,10,0,5,17945,20,0
SYMMETRY-BASEL,0,0,0,2,0,21,3,24,3,0,2,20,0,6,0,0,0,0,0,15,13,0,0,2,0,12,0,0,0,6,4,3,0,0,65,0,0,0,60,0,0,11,0,113,34,0,3,2,0,5,0,5,13,1,0,0,52,0,0,0,0,111,1124,0
T-ROY-SOC-SOUTH-AUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11
